date,AZM_minutes,rmssd,nremhr,entropy,sleep_score,deep_sleep_min,resting_heart_rate,stress_score,o2_avg,o2_lower_bound,o2_upper_bound,calories
2023-11-12,46.0,67.6893173076923,0.9608942307692308,993.692576923077,90.0,109.0,57.0,73.0,81.53140186915888,70.85,95.2,1854.72
2023-11-13,110.0,49.23667441860466,0.9750581395348837,577.8893023255814,87.0,77.0,58.0,76.0,83.84889643463498,88.5,98.6,2241.38
2023-11-14,81.0,50.04485185185185,0.9603209876543211,680.8976790123456,83.0,80.0,59.0,81.0,85.90140186915889,89.5,97.4,2159.39
2023-11-15,154.0,53.59263157894737,0.9728289473684211,809.4518684210527,86.0,79.0,60.0,83.0,85.53747126436782,86.80000000000001,99.5,2397.68
2023-11-16,78.0,49.60544262295082,0.9585901639344262,859.5072459016394,80.0,32.0,60.0,73.0,82.67286821705427,94.05,97.8,1938.13
2023-11-17,94.0,62.79143396226415,0.966754716981132,996.2685943396227,88.0,85.0,60.0,83.0,83.56862745098039,98.1,96.4,2019.28
2023-11-18,8.0,59.94534831460675,0.971191011235955,825.237606741573,85.0,50.0,60.0,81.0,82.35302419354838,96.30000000000001,96.9,1690.39
2023-11-19,44.0,69.10938888888889,0.9685333333333332,985.0386777777778,89.0,64.0,61.0,80.0,89.05741127348644,97.65,99.7,1799.69
2023-11-20,72.0,63.15360317460318,0.9745396825396826,857.8037619047619,79.0,68.0,61.0,77.0,83.21580459770115,91.69999999999999,96.4,2047.28
2023-11-21,96.0,53.470756521739126,0.9671739130434782,688.4880782608695,88.0,101.0,61.0,80.0,87.32288,92.05000000000001,98.4,1977.58
2023-11-22,39.0,52.24868131868132,0.9708901098901099,625.5806043956044,90.0,106.0,62.0,81.0,85.88261758691206,90.95,100.0,2120.9900000000002
2023-11-23,9.0,39.86649462365591,0.9699784946236559,483.79330107526886,92.0,109.0,63.0,78.0,83.57951318458417,92.15,97.3,1682.1100000000001
2023-11-24,16.0,47.71146153846154,0.971201923076923,614.3961153846153,89.0,90.0,63.0,76.0,81.72425249169436,93.3,99.2,1770.73
2023-11-25,84.0,45.12752777777777,0.9713472222222221,528.368736111111,85.0,79.0,63.0,74.0,82.57,93.0,96.4,1981.16
2023-11-26,48.0,50.10748809523809,0.9685833333333334,553.6175238095238,90.0,98.0,62.0,77.0,87.39213250517598,96.05,100.0,1919.89
2023-11-27,71.0,62.390875,0.9672083333333332,644.269138888889,78.0,87.0,61.0,77.0,86.33611793611794,91.0,98.5,1884.3
2023-11-28,38.0,61.79906329113924,0.9597468354430378,750.041506329114,82.0,53.0,60.0,77.0,86.29670886075948,70.7,92.9,1648.54
2023-11-29,53.0,53.98853211009175,0.9716605504587156,595.2886972477064,90.0,64.0,60.0,78.0,83.85561312607945,85.1,98.3,1856.8600000000001
2023-11-30,70.0,65.93532183908046,0.9580344827586207,845.4769885057472,80.0,70.0,59.0,74.0,85.04088050314465,94.8,97.4,1977.73
2023-12-01,75.0,67.28558441558441,0.966090909090909,883.2094415584417,88.0,91.0,59.0,78.0,90.15617021276596,92.3,100.0,2029.34
2023-12-02,129.0,62.76128865979382,0.9673092783505154,725.051886597938,84.0,82.0,58.0,77.0,87.36065259117083,95.75,98.4,2228.1
2023-12-03,45.0,51.8056976744186,0.9717093023255813,639.7853372093023,82.0,91.0,58.0,75.0,86.85593952483802,93.44999999999999,98.2,1758.04
2023-12-04,165.0,73.39016,0.9636399999999999,1312.8325466666668,85.0,63.0,58.0,78.0,84.39678714859437,95.94999999999999,97.9,2326.9700000000003
2023-12-05,56.0,52.99475490196079,0.9608039215686274,693.7396078431373,85.0,80.0,58.0,76.0,83.58559670781892,84.30000000000001,98.1,1899.82
2023-12-06,64.0,65.73226315789474,0.9609868421052631,913.2828815789474,80.0,67.0,58.0,78.0,87.05512820512821,93.80000000000001,99.7,1919.1200000000001
2023-12-07,84.0,58.51382608695652,0.9523804347826087,726.342706521739,84.0,44.0,58.0,80.0,82.63442265795206,93.0,98.7,1976.33
2023-12-08,43.0,49.42122222222222,0.9650444444444445,565.5149,87.0,53.0,58.0,87.0,85.33383742911153,91.4,98.3,1953.02
2023-12-09,12.0,51.22589285714286,0.9624017857142857,804.2778571428571,89.0,107.0,59.0,83.0,86.98275290215588,92.5,99.5,1570.35
2023-12-10,12.0,59.58840625,0.9718749999999999,763.984375,91.0,97.0,60.0,79.0,80.98736263736264,91.65,98.7,1540.26
2023-12-11,51.0,70.59713580246914,0.9746296296296295,929.1028024691359,86.0,49.0,59.0,79.0,81.35393700787402,71.45,97.6,1865.42
2023-12-12,58.0,52.933581395348845,0.9618837209302324,768.3456511627907,83.0,75.0,58.0,67.0,84.51995967741935,94.85,97.2,1836.14
2023-12-13,88.0,60.05828846153846,0.9721923076923077,566.2002692307692,79.0,44.0,58.0,78.0,83.549864498645,72.75,98.4,2312.7
2023-12-14,6.0,60.969324324324326,0.972990990990991,800.5250900900901,87.0,95.0,59.0,65.0,86.83239436619719,93.25,99.3,1612.14
2023-12-15,87.0,45.24795967741936,0.9841451612903225,701.3864435483871,85.0,73.0,59.0,67.0,84.3684131736527,71.95,97.5,1817.97
2023-12-16,175.0,52.4999,0.9664333333333334,889.1895444444443,88.0,58.0,60.0,76.0,87.37727272727273,93.80000000000001,99.4,2324.73
2023-12-17,58.0,40.76261538461539,0.959448717948718,591.7992564102564,83.0,55.0,61.0,81.0,86.12873303167422,95.75,97.7,2183.91
2023-12-18,7.0,51.326854545454545,0.9713454545454545,807.6845090909092,86.0,103.0,61.0,75.0,83.7060162601626,90.0,94.7,1508.46
